City,County,CountyID,SPCID
Alachua,Alachua,1,903
Archer,Alachua,1,903
Cross Creek,Alachua,1,903
Earleton,Alachua,1,903
Gainesville,Alachua,1,903
Hawthorne,Alachua,1,903
High Springs,Alachua,1,903
Island Grove,Alachua,1,903
Jonesville,Alachua,1,903
La Crosse,Alachua,1,903
Lochloosa,Alachua,1,903
Micanopy,Alachua,1,903
Newberry,Alachua,1,903
Waldo,Alachua,1,903
Windsor,Alachua,1,903
Glen St Mary,Baker,2,903
Macclenny,Baker,2,903
Olustee,Baker,2,903
Sanderson,Baker,2,903
Allenton,Bay,3,903
Callaway,Bay,3,903
Cedar Grove,Bay,3,903
Fountain,Bay,3,903
Laguna Beach,Bay,3,903
Lower Grand Lagoon,Bay,3,903
Lynn Haven,Bay,3,903
Mexico Beach,Bay,3,903
Panama City,Bay,3,903
Panama City Beach,Bay,3,903
Parker,Bay,3,903
Pretty Bayou,Bay,3,903
Southport,Bay,3,903
Springfield,Bay,3,903
Tyndall Air Force Base,Bay,3,903
Upper Grand Lagoon,Bay,3,903
Youngstown,Bay,3,903
Brooker,Bradford,4,903
Clayno,Bradford,4,903
Graham,Bradford,4,903
Hampton,Bradford,4,903
Lawtey,Bradford,4,903
Starke,Bradford,4,903
Allenhurst,Brevard,5,901
Cape Canaveral,Brevard,5,901
Cocoa,Brevard,5,901
Cocoa Beach,Brevard,5,901
Cocoa West,Brevard,5,901
Courtenay,Brevard,5,901
Floridana Beach,Brevard,5,901
Grant-Valkaria,Brevard,5,901
Indialantic,Brevard,5,901
Indian Harbour Beach,Brevard,5,901
June Park,Brevard,5,901
Malabar,Brevard,5,901
Melbourne,Brevard,5,901
Melbourne Beach,Brevard,5,901
Melbourne Village,Brevard,5,901
Merrit Island,Brevard,5,901
Micco,Brevard,5,901
Mims,Brevard,5,901
Palm Bay,Brevard,5,901
Palm Shores,Brevard,5,901
Patrick Air Force Base,Brevard,5,901
Port St John,Brevard,5,901
Rockledge,Brevard,5,901
Satellite Beach,Brevard,5,901
Scottsmoor,Brevard,5,901
Sharpes,Brevard,5,901
South Patrick Shores,Brevard,5,901
Titusville,Brevard,5,901
Viera,Brevard,5,901
West Melbourne,Brevard,5,901
Boulevard Gardens,Broward,6,901
Broadview Park,Broward,6,901
Chula Vista,Broward,6,901
Coconut Creek,Broward,6,901
Cooper City,Broward,6,901
Coral Springs,Broward,6,901
Dania Beach,Broward,6,901
Davie,Broward,6,901
Deerfield Beach,Broward,6,901
Fern Crest Village,Broward,6,901
Fort Lauderdale,Broward,6,901
Franklin Park,Broward,6,901
Hallandale Beach,Broward,6,901
Hillsboro Beach,Broward,6,901
Hillsboro Pines,Broward,6,901
Hollywood,Broward,6,901
Lake Forest,Broward,6,901
Lauderdale Lakes,Broward,6,901
Lauderdale-by-the-Sea,Broward,6,901
Lauderhill,Broward,6,901
Lazy Lake,Broward,6,901
Lighthouse Point,Broward,6,901
Margate,Broward,6,901
Miccosukee Reservation,Broward,6,901
Miramar,Broward,6,901
North Lauderdale,Broward,6,901
Oakland Park,Broward,6,901
Parkland,Broward,6,901
Pembroke Park,Broward,6,901
Pembroke Pines,Broward,6,901
Plantation,Broward,6,901
Pompano Beach,Broward,6,901
Roosevelt Gardens,Broward,6,901
Sea Ranch Lakes,Broward,6,901
Southwest Ranches,Broward,6,901
Sunrise,Broward,6,901
Tamarac,Broward,6,901
Washington Park,Broward,6,901
West Park,Broward,6,901
Weston,Broward,6,901
Wilton Manors,Broward,6,901
Altha,Calhoun,7,903
Blountstown,Calhoun,7,903
Clarksville,Calhoun,7,903
Dickerson City,Calhoun,7,903
Fisher Corner,Calhoun,7,903
Frink,Calhoun,7,903
Kinard,Calhoun,7,903
Charlotte Harbor,Charlotte,8,902
Charlotte Park,Charlotte,8,902
Cleveland,Charlotte,8,902
Grove City,Charlotte,8,902
Harbour Heights,Charlotte,8,902
Manasota Key,Charlotte,8,902
Murdock,Charlotte,8,902
Placida,Charlotte,8,902
Port Charlotte,Charlotte,8,902
Punta Gorda,Charlotte,8,902
Solana,Charlotte,8,902
Beverly Hills,Citrus,9,902
Black Diamond,Citrus,9,902
Citrus Hills,Citrus,9,902
Citrus Springs,Citrus,9,902
Crystal River,Citrus,9,902
Floral City,Citrus,9,902
Hernando,Citrus,9,902
Holder,Citrus,9,902
Homosassa,Citrus,9,902
Homosassa Springs,Citrus,9,902
Inverness,Citrus,9,902
Inverness Highlands North,Citrus,9,902
Inverness Highlands South,Citrus,9,902
Lecanto,Citrus,9,902
Pine Ridge,Citrus,9,902
Sugarmill woods,Citrus,9,902
Asbury Lake,Clay,10,901
Bellair-Meadowbrook,Clay,10,901
Doctors Inlet,Clay,10,901
Fleming Island,Clay,10,901
Green Cove Springs,Clay,10,901
Keystone Heights,Clay,10,901
Lake Geneva,Clay,10,901
Lakeside,Clay,10,901
Middleburg,Clay,10,901
Oakleaf Plantation,Clay,10,901
Orange Park,Clay,10,901
Penney Farms,Clay,10,901
Ave Maria,Collier,11,901
Chokoloskee,Collier,11,901
Copeland,Collier,11,901
Everglades,Collier,11,901
Golden Gate,Collier,11,901
Goodland,Collier,11,901
Immokalee,Collier,11,901
Immokalee Reservation,Collier,11,901
Island Walk,Collier,11,901
Jerome,Collier,11,901
Lely,Collier,11,901
Lely Resort,Collier,11,901
Marco Island,Collier,11,901
Naples,Collier,11,901
Naples Manor,Collier,11,901
Naples Park,Collier,11,901
Ochopee,Collier,11,901
Orangetree,Collier,11,901
Pelican Bay,Collier,11,901
Pine Ridge,Collier,11,901
Plantation Island,Collier,11,901
Verona Walk,Collier,11,901
Vineyards,Collier,11,901
Five Points,Columbia,12,903
Fort White,Columbia,12,903
Lake City,Columbia,12,903
Lulu,Columbia,12,903
Watertown,Columbia,12,903
Arcadia,Desoto,13,902
Fort Ogden,Desoto,13,902
Lake Suzy,Desoto,13,902
Nocatee,Desoto,13,902
Southeast Arcadia,Desoto,13,902
Cross City,Dixie,14,903
Horseshoe Beach,Dixie,14,903
Jena,Dixie,14,903
Old Town,Dixie,14,903
Suwannee,Dixie,14,903
Atlantic Beach,Duval,15,901
Baldwin,Duval,15,901
Clarksville,Duval,15,901
Jacksonville,Duval,15,901
Jacksonville Beach,Duval,15,901
Neptune Beach,Duval,15,901
Bellview,Escambia,16,903
Brent,Escambia,16,903
Cantonment,Escambia,16,903
Century,Escambia,16,903
Ensley,Escambia,16,903
Ferry Pass,Escambia,16,903
Gonzalez,Escambia,16,903
Goulding,Escambia,16,903
McDavid,Escambia,16,903
Molino,Escambia,16,903
Myrtle Grove,Escambia,16,903
Pensacola,Escambia,16,903
Pensacola Beach,Escambia,16,903
Perdido Key,Escambia,16,903
Poarch Creek Reservation,Escambia,16,903
Walnut Hill,Escambia,16,903
Warrington,Escambia,16,903
West Pensacola,Escambia,16,903
Beverly Beach,Flagler,17,901
Bunnell,Flagler,17,901
Dupont,Flagler,17,901
Favoretta,Flagler,17,901
Flagler Beach,Flagler,17,901
Marineland,Flagler,17,901
Palm Coast,Flagler,17,901
Alligator Point,Franklin,18,903
Apalachicola,Franklin,18,903
Carrabelle,Franklin,18,903
Dog Island,Franklin,18,903
Eastpoint,Franklin,18,903
Fort Gadsden,Franklin,18,903
Lanark Village,Franklin,18,903
St George Island,Franklin,18,903
St Teresa,Franklin,18,903
Chattahoochee,Gadsden,19,903
Greensboro,Gadsden,19,903
Gretna,Gadsden,19,903
Havana,Gadsden,19,903
Midway,Gadsden,19,903
Mount Pleasant,Gadsden,19,903
Quincy,Gadsden,19,903
Bell,Gilchrist,20,903
Fanning Springs,Gilchrist,20,903
Spring Ridge,Gilchrist,20,903
Trenton,Gilchrist,20,903
Buckhead Ridge,Glades,21,901
Moore Haven,Glades,21,901
Palmdale,Glades,21,901
Cape San Blas,Gulf,22,903
Port St Joe,Gulf,22,903
Wewahitchka,Gulf,22,903
Jasper,Hamilton,23,903
Jennings,Hamilton,23,903
White Springs,Hamilton,23,903
Bowling Green,Hardee,24,902
Fort Green,Hardee,24,902
Fort Green Springs,Hardee,24,902
Gardner,Hardee,24,902
Lemon Grove,Hardee,24,902
Limestone,Hardee,24,902
Ona,Hardee,24,902
Wauchula,Hardee,24,902
Zolfo Springs,Hardee,24,902
Clewiston,Hendry,25,901
Felda,Hendry,25,901
Fort Denaud,Hendry,25,901
Harlem,Hendry,25,901
LaBelle,Hendry,25,901
Montura,Hendry,25,901
Pioneer,Hendry,25,901
Port La Belle,Hendry,25,901
Bayport,Hernando,26,902
Brookridge,Hernando,26,902
Brooksville,Hernando,26,902
Garden Grove,Hernando,26,902
Hernando Beach,Hernando,26,902
High Point,Hernando,26,902
Hill 'n Dale,Hernando,26,902
Istachatta,Hernando,26,902
Lake Lindsey,Hernando,26,902
Masaryktown,Hernando,26,902
Nobleton,Hernando,26,902
North Brooksville,Hernando,26,902
North Weeki Wachee,Hernando,26,902
Pine Island,Hernando,26,902
Ridge Manor,Hernando,26,902
South Brooksville,Hernando,26,902
Spring Hill,Hernando,26,902
Spring Lake,Hernando,26,902
Timber Pines,Hernando,26,902
Weeki Wachee,Hernando,26,902
Weeki Wachee Gardens,Hernando,26,902
Wiscon,Hernando,26,902
Avon Park,Highlands,27,901
Brighton Seminole Indian Reservation,Highlands,27,901
Lake Placid,Highlands,27,901
Lorida,Highlands,27,901
Placid Lakes,Highlands,27,901
Sebring,Highlands,27,901
Venus,Highlands,27,901
Apollo Beach,Hillsborough,28,902
Balm,Hillsborough,28,902
Bloomingdale,Hillsborough,28,902
Brandon,Hillsborough,28,902
Carrollwood,Hillsborough,28,902
Cheval,Hillsborough,28,902
Citrus Park,Hillsborough,28,902
Clair-Mel City,Hillsborough,28,902
Dover,Hillsborough,28,902
Durant,Hillsborough,28,902
East Lake-Orient Park,Hillsborough,28,902
Egypt Lake-Leto,Hillsborough,28,902
Fish Hawk,Hillsborough,28,902
Gibsonton,Hillsborough,28,902
Gun Club Estates,Hillsborough,28,902
Keystone,Hillsborough,28,902
Lake Magdalene,Hillsborough,28,902
Lakeshore,Hillsborough,28,902
Lithia,Hillsborough,28,902
Lutz,Hillsborough,28,902
Mango,Hillsborough,28,902
Northdale,Hillsborough,28,902
Palm River-Clair Mel,Hillsborough,28,902
Pebble Creek,Hillsborough,28,902
Plant City,Hillsborough,28,902
Riverview,Hillsborough,28,902
Ruskin,Hillsborough,28,902
Seffner,Hillsborough,28,902
